url,caption,username,timestamp,source_tag
https://www.instagram.com/p/DSWAzXNk69T/,"16 Desember 2025 - Ketum Rampai Nusantara Mardiansyah Semar @semarmardiansyah Kembali Bertemu Dengan Presiden ke-7 RI Joko Widodo @jokowi Sekaligus Dewan Pembina Rampai Nusantara di Kediaman Pribadi Jokowi di Solo, Jawa Tengah 🇮🇩

#jokowi #mardiansyahsemar #semarmardiansyah #rampainusantara #jokowidodo #presidenke7jokowi #dewanpembinarampainusantara #presidenjokowi #gibran #gibranrakabumingraka #gibranrakabuming #ijazahjokowi #tuduhanijazahpalsujokowi"".",,2025-12-17T00:11:15.000Z,jokowi
https://www.instagram.com/p/DP8p5mGEvEu/,"Banyak isu yang menyebut IKN sebagai proyek mangkrak, namun wanita ini justru beri kesaksian yang berbeda. Saat berkunjung ke IKN, ia melihat sendiri bagaimana kota ini mempunyai infrastruktur yang rapi, modern, dan tertata dengan perencanaan yang matang. Ia pun membagikan sejumlah foto yang memperlihatkan kondisi sebenarnya di IKN.

Foto: [Tiktok/ra.yuana]

#infonetizone #ikn #nusantara #ibukota #jakarta #indonesia #jokowi #prabowo"".",,2025-10-18T10:46:11.000Z,jokowi
https://www.instagram.com/p/CRYyaSSlGa3/,"YNTKS

#viral_padamasanya 

#yntkts #ynt #yntktsmeme #yntkns #memeindonesia #memejokowi #jokowi #yanggatau"".",,2021-07-16T12:03:12.000Z,jokowi
https://www.instagram.com/p/DSfQ49aEXzV/,"JOKOWI Sang maestro 
Flashback kebelakang
Fahri hamzah dan pks,dulu sekitar tahun 2014 an sampai 2019 an orang yang paling vokal mengkritik habis habisan tentang pak jokowi,tapi sekarang Alhamdulillah luluh lantah,akan kah roy suryo cs sama seperti fahri hamzah yang sekarang
Kita tunggu endingnya
#jokowi
#sangorkestra"".",,2025-12-20T14:23:51.000Z,jokowi
https://www.instagram.com/p/DSbmzWcE-JE/,,,2025-12-19T04:18:22.000Z,jokowi
https://www.instagram.com/p/DBawIn-S6OM/,"😭😭😭🙏🏻🙏🏻🙏🏻
•
sc : tallyfication
•
check it out 👉🏻 ⌜ @RECEHTAGRAM ⌟ untuk postingan hiburan dan informasi lainnya yang sedang trending ✌🏻
•
#recehtagram #memes #indonesia #textpost #funny #mood #explore  #love #happy #2024 #photooftheday #memeoftheday #meme #ngakakkocak #dagelan #lucu #ngakak #lol #instagram #relate #jokowi"".",,2024-10-22T07:26:58.000Z,jokowi
https://www.instagram.com/p/DSmBmYmFHTt/,,,2025-12-23T05:24:56.000Z,jokowi
https://www.instagram.com/p/DKgQsNCyXkZ/,"Sindrom Stevens Johnson (SJS) mendadak menjadi perbincangan publik setelah mencuat dugaan bahwa Joko Widodo (Jokowi) mengidap penyakit autoimun langka ini. Dugaan tersebut muncul usai publik mencermati perubahan signifikan pada kondisi kulit wajah dan leher Jokowi dalam beberapa penampilan terakhirnya. 

Sebelumnya, Ajudan pribadi Jokowi, Kompol Muhammad Fitriansyah mengatakan bahwa mantan presiden tersebut tidak dapat hadir pada upacara Hari Lahir Pancasila 2 Juni 2025 karena tengah mengidap penyakit kulit. “Beliau masih proses penyembuhan dari alergi kulit,” kata Muhammad Fitriansyah.

 
Meski belum ada konfirmasi resmi, kemunculan bercak gelap dan iritasi kulit memunculkan spekulasi bahwa gejala tersebut berkaitan dengan SJS, suatu reaksi hipersensitivitas serius terhadap obat atau infeksi yang menyerang kulit dan selaput lendir. Penyakit ini tergolong langka namun berpotensi fatal jika tidak ditangani dengan cepat. 

https://lifestyle.sindonews.com/read/1576141/155/mengenal-sindrom-stevens-johnson-penyakit-langka-serius-yang-diduga-diidap-jokowi-1749082000

#Sindonews #SindromStevensJohnson #Jokowi #SJS #JokoWidodo"".",,2025-06-05T03:30:12.000Z,jokowi
https://www.instagram.com/p/BqW_IJJAfMY/,"Cuma Presiden Jokowi yang sedekat ini dengan rakyatnya.

@Regran_ed from @jokowi_membangun - - Mengharukan 😭😭😭
.
.
.
.
.
#dukungjokowi #jokowi #jkw4p #2019pilihjokowi #2019jokowiaja #sahabatjokowi #jokowi2periode #2periode #jokowipresidenku #t3tapjokowi #2019t3tapjokowi #eramilenial #2019jokowilagi #memejokowi #jokowi #jokowimarufamin #2019pilihjokowi #irianajokowi  #jokowipresidenkitasemua #diasibukkerja #prestasijokowi #kinerjajokowi #pilpres2019 #merakyat #jokowipresidenku #pemimpin #jokowiforpresident #2019jokowiaja #2019tetapjokowi"".",,2018-11-19T10:50:26.000Z,jokowi
https://www.instagram.com/p/DRzLOqmEixB/,"Tiga Pilar Republik 

Source : Tiktok @owi.bradpit

Izinnn🙏

Follow akun ini segera!!! Kenapa? Ya gpp follow aja. 

#memes #meme #memedaily #memeindo #memeid #memepage #memeasw #republicofmeme #memerelate #jokowi #prabowo #anisbaswedan #anakabah #culture #skena #outfit #ootd #4u #beranda #fyp"".",,2025-12-03T11:27:48.000Z,jokowi
https://www.instagram.com/p/CqVKxkOPFOo/,"Aku menyebutnya tampan dan pemberani

Source : FB

#meme #jokowi #memeindonesia #kegoblokanunfaedah #kelakuanwarga62 #rabucringe #memecringe #asupanmeme #antijedagjedug #memeabsurd #hatihatidiinternet"".",,2023-03-28T11:22:14.000Z,jokowi
https://www.instagram.com/p/DPd5anfkhJ9/,,,2025-10-06T12:05:18.000Z,jokowi
https://www.instagram.com/p/DSfCUY5kzoX/,,,2025-12-20T12:16:32.000Z,jokowi
https://www.instagram.com/p/DMjtOnAqW3y/,"Jokowi dan Iriana tinggalkan kediaman di Solo pagi ini. Saat ditanya tujuannya, ia hanya menjawab singkat: ""Ke Jogja."" 
-
- 
#Jokowi #Solo #Yogyakarta #mdkan"".",,2025-07-26T04:40:42.000Z,jokowi
https://www.instagram.com/p/DKeRtfSJXkS/,"Misteri sakit Pak Jokowi? 🤔💭

#Pancasila #JokoWidodo #Jokowi #HarlahPancasila #HariLahirPancasila #alergikulit #pinterpolitik #infografis #politikindonesia #beritapolitik #beritapolitikterkini"".",,2025-06-04T09:00:34.000Z,jokowi
